,아이디,주소,기업성장단계,신규인력_채용의사,구분,신규채용_예상인력,신규채용_박사,신규채용_석사,신규채용_대졸,신규채용_전문대졸,신규채용_고졸이하,지역,업종
0,1,경기 성남시 수정구,성숙기,있음,법인,3,0,0,1,2,0,서울/인천/경기,의료/제약
1,14,경기 파주시,고도성장기,있음,개인,1,0,0,1,0,0,서울/인천/경기,에너지/화학/정밀
2,22,경남 김해시,성숙기,없음,법인,0,0,0,0,0,0,부산/경남/울산,음식료/섬유/비금속/기타제조
3,25,광주 동구,성숙기,없음,개인,0,0,0,0,0,0,광주/전라/제주,소프트웨어개발/IT기반서비스
4,36,울산 울주군,고도성장기,없음,법인,0,0,0,0,0,0,부산/경남/울산,기타
5,42,충북 음성군,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,통신기기/방송기기
6,50,대전 동구,고도성장기,없음,개인,0,0,0,0,0,0,대전/세종/충청/강원,기타
7,61,경기 화성시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
8,100,경기 성남시 분당구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
9,105,강원 삼척시,성숙기,있음,법인,2,0,0,1,1,0,대전/세종/충청/강원,기타
10,107,제주 제주시,성숙기,없음,법인,0,0,0,0,0,0,광주/전라/제주,에너지/화학/정밀
11,109,경기 평택시,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
12,114,경기 이천시,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
13,127,인천 남동구,고도성장기,없음,개인,0,0,0,0,0,0,서울/인천/경기,에너지/화학/정밀
14,135,경기 의왕시,초기성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,통신기기/방송기기
15,143,경기 안산시 단원구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,음식료/섬유/비금속/기타제조
16,160,서울 금천구,성숙기,있음,법인,2,0,0,2,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
17,220,전북 전주시 완산구,고도성장기,있음,법인,2,0,0,2,0,0,광주/전라/제주,정보통신/방송서비스
18,223,부산 사상구,고도성장기,있음,법인,2,0,0,1,1,0,부산/경남/울산,기타
19,231,경기 파주시,성숙기,있음,법인,4,0,0,0,0,4,서울/인천/경기,기계/자동차/금속
20,238,충북 음성군,고도성장기,있음,법인,3,0,0,0,2,1,대전/세종/충청/강원,기타
21,246,서울 중구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,도소매/연구개발서비스/기타서비스
22,247,서울 중구,고도성장기,없음,법인,0,0,0,0,0,0,서울/인천/경기,정보통신/방송서비스
23,263,서울 송파구,성숙기,있음,법인,5,0,0,2,2,1,서울/인천/경기,기타
24,306,서울 서초구,성숙기,없음,법인,0,0,0,0,0,0,서울/인천/경기,소프트웨어개발/IT기반서비스
25,341,대구 북구,고도성장기,없음,법인,0,0,0,0,0,0,대구/경북,소프트웨어개발/IT기반서비스
26,352,충북 청주시 청원구,성숙기,없음,개인,0,0,0,0,0,0,대전/세종/충청/강원,통신기기/방송기기
27,353,충북 청주시 서원구,초기성장기,없음,개인,0,0,0,0,0,0,대전/세종/충청/강원,기계/자동차/금속
28,354,충북 청주시 흥덕구,고도성장기,없음,법인,0,0,0,0,0,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
29,355,충북 청주시 흥덕구,성숙기,있음,법인,2,0,0,2,0,0,대전/세종/충청/강원,도소매/연구개발서비스/기타서비스
